1980-012-14:17:08.78993 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x85, msgidval=0x1885
1980-012-14:17:08.78994 CFE_MSG_GetMsgId: StreamId[0]=0x08, StreamId[1]=0x84, msgidval=0x0884
1980-012-14:17:08.83101 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x0D, msgidval=0x180D
1980-012-14:17:08.83107 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x0D, msgidval=0x180D
1980-012-14:17:08.83107 CFE_MSG_GetMsgId: StreamId[0]=0x08, StreamId[1]=0x05, msgidval=0x0805
1980-012-14:17:09.00068 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x11, msgidval=0x1811
1980-012-14:17:09.00071 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x11, msgidval=0x1811
1980-012-14:17:09.00072 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x10, msgidval=0x1810
1980-012-14:17:09.00072 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x62, msgidval=0x1862
1980-012-14:17:09.00073 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x10, msgidval=0x1810
1980-012-14:17:09.00073 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x62, msgidval=0x1862
1980-012-14:17:09.00073 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x60, msgidval=0x1860
1980-012-14:17:09.00074 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x60, msgidval=0x1860
1980-012-14:17:09.07015 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x81, msgidval=0x1881
1980-012-14:17:09.16957 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x83, msgidval=0x1883
